머리,몸통,무기,무기,
105 ,205,301,601,
106 ,206,604,604,
116 ,216,303,311,
104 ,204,303,603,
110 ,210,501,314,
117 ,217,702,,
스폰시간(초),유닛번호(0번부터),,,0이 위
1 ,1,0,,
2 ,2,1,,
4 ,5,0,,
5 ,1,1,,1가 아래
7 ,2,1,,
8 ,3,0,,
10 ,2,1,,
11 ,3,0,,
13 ,2,0,,
14 ,1,1,,
15 ,6,1,,
17 ,1,0,,
18 ,2,1,,
20 ,5,0,,
21 ,6,1,,
23 ,1,1,,
24 ,2,1,,
26 ,2,0,,
27 ,3,1,,
29 ,5,0,,
30 ,1,0,,
31 ,4,1,,
33 ,2,0,,
34 ,3,0,,
36 ,6,1,,
37 ,5,0,,
39 ,2,0,,
40 ,3,1,,
42 ,5,0,,
43 ,1,0,,
45 ,4,1,,
46 ,2,0,,
47 ,3,0,,
49 ,6,1,,
50 ,2,0,,
52 ,1,1,,
53 ,6,1,,
55 ,1,0,,
56 ,2,1,,
58 ,5,0,,
59 ,6,1,,
61 ,1,1,,
62 ,2,1,,
64 ,2,0,,
65 ,3,1,,
66 ,5,0,,
68 ,5,0,,
69 ,6,1,,
71 ,5,0,,
72 ,6,1,,
74 ,1,1,,
75 ,2,1,,
77 ,2,0,,
78 ,3,1,,
80 ,5,0,,
81 ,1,0,,
82 ,4,1,,
84 ,2,0,,
85 ,3,0,,
87 ,6,1,,
88 ,5,0,,
90 ,2,0,,
91 ,3,1,,
93 ,5,0,,
94 ,1,0,,
96 ,4,1,,
97 ,2,0,,
98 ,3,0,,
100 ,6,1,,
101 ,2,0,,
103 ,1,1,,
104 ,6,1,,
106 ,1,0,,
107 ,2,1,,
109 ,5,0,,
110 ,6,1,,
112 ,1,1,,
113 ,2,1,,
115 ,5,0,,
116 ,6,1,,
117 ,1,1,,
119 ,2,1,,
120 ,2,0,,
122 ,3,1,,
123 ,5,0,,
125 ,1,0,,
126 ,4,1,,
128 ,2,0,,
129 ,3,0,,
131 ,6,1,,
132 ,5,0,,
133 ,2,0,,
135 ,3,1,,
136 ,5,0,,
138 ,1,0,,
139 ,4,1,,
141 ,2,0,,
142 ,3,0,,
144 ,6,1,,
145 ,2,0,,
147 ,1,1,,
148 ,6,1,,
149 ,1,0,,
151 ,2,1,,
152 ,5,0,,
154 ,6,1,,
155 ,1,1,,
157 ,2,1,,
158 ,2,0,,
160 ,3,1,,
161 ,5,0,,
163 ,1,0,,
164 ,4,1,,
166 ,2,0,,
167 ,3,0,,
168 ,6,1,,
170 ,2,0,,
171 ,1,1,,
173 ,6,1,,
174 ,1,0,,
176 ,2,1,,
177 ,5,0,,
179 ,6,1,,
180 ,1,1,,
182 ,2,1,,
183 ,2,0,,
184 ,3,1,,
186 ,5,0,,
187 ,1,0,,
189 ,4,1,,
190 ,2,0,,
192 ,3,0,,
193 ,6,1,,
195 ,2,0,,
196 ,1,1,,
198 ,6,1,,
199 ,1,0,,
200 ,2,1,,
202 ,5,0,,
203 ,6,1,,
205 ,1,1,,
206 ,2,1,,
208 ,2,0,,
209 ,3,1,,
211 ,5,0,,
212 ,1,0,,
214 ,4,1,,
215 ,2,0,,
217 ,3,0,,
218 ,6,1,,
219 ,2,0,,
221 ,1,1,,
222 ,6,1,,
224 ,1,0,,
225 ,2,1,,
227 ,5,0,,
228 ,6,1,,
230 ,1,1,,
231 ,2,1,,
233 ,2,0,,
234 ,3,1,,
235 ,5,0,,
237 ,1,0,,
238 ,4,1,,
240 ,2,0,,
241 ,3,0,,
243 ,6,1,,
244 ,2,0,,
246 ,1,1,,
247 ,6,1,,
249 ,1,0,,
250 ,2,1,,
251 ,5,0,,
253 ,6,1,,
254 ,1,1,,
256 ,2,1,,
257 ,2,0,,
259 ,3,1,,
260 ,5,0,,
262 ,1,0,,
263 ,4,1,,
265 ,2,0,,
266 ,3,0,,
268 ,6,1,,
269 ,2,0,,
270 ,1,1,,
272 ,6,1,,
273 ,1,0,,
275 ,2,1,,
276 ,5,0,,
278 ,6,1,,
279 ,1,1,,
281 ,2,1,,
282 ,2,0,,
284 ,3,1,,
285 ,5,0,,
286 ,1,0,,
288 ,4,1,,
289 ,2,0,,
291 ,3,0,,
292 ,6,1,,
294 ,2,0,,
295 ,1,1,,
